,title,url,rating,no_ratings,desc,price
37,Bali White Water Rafting with Toekad,/AttractionProductReview-g608496-d13933887-Bali_White_Water_Rafting_with_Toekad-Tabanan_Bali.html,5,21,"Bali’s not just a hotspot for diving, surfing and sand. On this tour, delve into the wilds of Bali with an exuberant trip along the province’s longest river. Feel your heart race as you encounter rapids, then calm",888.01
38,Gate of Heaven (Lempuyang) - Water Palace - Virgin Beach - FREE Wi-Fi,/AttractionProductReview-g469404-d16748902-Gate_of_Heaven_Lempuyang_Water_Palace_Virgin_Beach_FREE_Wi_Fi-Seminyak_Kuta_Distri.html,5,31,"Spend the day exploring some of Bali’s scenic highlights and take some enviable photos back home with you on this private tour. Get around the island in your own private vehicle, with a private driver behind the",696.30
39,Private Traditional Balinese Cooking Experience and Garden Tour in...,/AttractionProductReview-g608496-d12464349-Private_Traditional_Balinese_Cooking_Experience_and_Garden_Tour_in_Ubud-Tabanan_Ba.html,5,73,"Bali is renowned for its distinctive cuisine, and a cooking class is the ideal way to sample traditional Balinese dishes. Taking place in a local home, this private cooking class teaches you the secrets of Balinese","2,716.26"
40,Balinese Cooking Class Experience,/AttractionProductReview-g608496-d14045153-Balinese_Cooking_Class_Experience-Tabanan_Bali.html,5,29,"There are few better ways to experience local culture than a cooking class. In this small-group class, join your Balinese host on a visit to a typical market, then enjoy coffee and cake as you learn about herbs and","1,984.96"
41,Bali Instagram Tour: The Most Scenic Spots,/AttractionProductReview-g608496-d15059305-Bali_Instagram_Tour_The_Most_Scenic_Spots-Tabanan_Bali.html,5,137,"Bali’s beautiful temples, white sand beaches, and UNESCO-listed rice terraces make for some impressive photo opportunities. On this tour, visit some of Bali most photogenic sights and enjoy plenty of time to pose","2,089.43"
42,Mount Batur Sunrise Trekking (Private Tour and Buffet Breakfast at...,/AttractionProductReview-g608496-d15615705-Mount_Batur_Sunrise_Trekking_Private_Tour_and_Buffet_Breakfast_at_Restaurant-Taban.html,5,31,"Don’t risk driving through the night to climb Mt. Batur: Relax with your own private guide and vehicle on this door-to-door sunrise adventure, which offers sweeping views across Bali. Enjoy coffee, tea, and eggs","2,455.08"
43,Sweet and Spicy - Indonesian Cooking Class in Gili Trawangan,/AttractionProductReview-g297733-d14084249-Sweet_and_Spicy_Indonesian_Cooking_Class_in_Gili_Trawangan-Lombok_West_Nusa_Tengga.html,4.5,16,"Discover the secrets of Indonesian cuisine with a cooking lesson at Sweet & Spicy Gili Cooking School. Whether you're a novice or advanced chef, you'll enjoy meeting others and gaining practical skills in how to","1,410.36"
44,The Bali Instagram Tour - Small Group,/AttractionProductReview-g469404-d15135900-The_Bali_Instagram_Tour_Small_Group-Seminyak_Kuta_District_Bali.html,4.5,70,Get Insta-worthy snapshots of some of Bali's most beautiful scenery with this visually pleasing tour designed specifically for travelers on the search for great photo ops. Stops include the Lempuyang Temple (often,"1,619.31"
45,Bali Instagram Tour: The Most Famous Spots,/AttractionProductReview-g1380108-d15682091-Bali_Instagram_Tour_The_Most_Famous_Spots-Pecatu_Nusa_Dua_Peninsula_Bali.html,5,107,"If you are looking for the most Instagram-worthy spots in Bali, this tour is for you. With a private trip, you don’t have to worry about holding up the rest of a tour group while you work on capturing the perfect","4,126.62"
46,"Best of Bali Waterfalls: Tibumana, Tukad Cepung and Tegenungan...",/AttractionProductReview-g608496-d13159968-Best_of_Bali_Waterfalls_Tibumana_Tukad_Cepung_and_Tegenungan_Waterfalls-Tabanan_Ba.html,5,288,"If you want to escape Bali’s crowds and spend the day in nature, this private waterfalls tour is ideal. After your pickup in Ubud, head to three of Bali’s most beautiful waterfalls: Tibumana, Tukad Cepung, and","2,611.78"
47,One Day Nusa Penida Island West with Snorkeling,/AttractionProductReview-g12948593-d15737478-One_Day_Nusa_Penida_Island_West_with_Snorkeling-Ped_Nusa_Penida_Bali.html,5,25,"This day trip is the easy way to experience the underwater world of Nusa Penida. Where you’ll enjoy snorkeling with the colorful fish and other sea life, including Manta Rays. Then our first destination is","2,402.84"
48,Bali Swing,/AttractionProductReview-g608496-d15125976-Bali_Swing-Tabanan_Bali.html,4.5,667,"If your group of friends is looking for a fun afternoon with incredible views and great photo opportunities, try the amazing Bali Swing. This package deal includes use of 12 swings, 6 birds-nests, and entrance to a","1,828.25"
49,Snorkelling Day Trip From Nusa Lembongan,/AttractionProductReview-g12948593-d15142329-Snorkelling_Day_Trip_From_Nusa_Lembongan-Ped_Nusa_Penida_Bali.html,4.5,12,"Explore three different snorkeling sites on this all-day tour from Nusa Lembongan. The itinerary includes points in Nusa Lembongan and Nusa Penida like Manta Bay, Crystal Bay, Gamat Bay, and Mangrove Point. No","2,037.19"
50,"Private tour to Tibumana waterfall, Bali Jungle Swing, Rice terrace...",/AttractionProductReview-g469404-d14155753-Private_tour_to_Tibumana_waterfall_Bali_Jungle_Swing_Rice_terrace_and_Temple-Semin.html,5,30,"Embark on a classic Bali experience during this private excursion. Visit the Timbumane Waterfall and take a dip in its refreshing waters, learn about Hindu culture at the Goa Gajah Temple, stroll through the rice","1,567.07"
51,Highlights Mt. Batur and Natural Hot Spring Private Tours,/AttractionProductReview-g608496-d15340607-Highlights_Mt_Batur_and_Natural_Hot_Spring_Private_Tours-Tabanan_Bali.html,5,12,"Scale Mt. Batur at a pace that’s tailored to your group on this private door-to-door tour, which includes time to soothe sore muscles in the hot springs on Lake Batur. Leave early to ensure you reach the crater rim","3,395.32"
52,Bali Instagram Tour: The Most Instagram-Worthy Spots,/AttractionProductReview-g469404-d15342828-Bali_Instagram_Tour_The_Most_Instagram_Worthy_Spots-Seminyak_Kuta_District_Bali.html,5,112,"Bali is Instagram heaven, but driving hell. Leave navigation to your personal chauffeur-cum-guide as you check off three east Bali gems on this door-to-door tour. Start with the Gates of Heaven at Lempuyang Temple,","2,350.61"
53,Quad Biking Bali with Transport and Lunch,/AttractionProductReview-g469404-d13286644-Quad_Biking_Bali_with_Transport_and_Lunch-Seminyak_Kuta_District_Bali.html,5,52,Hop on an ATV and explore the Bali countryside on this guided tour. The ATVs are easy to learn how to ride and you can choose either manual or automatic transmission. You can also select either a single package,"2,193.90"
54,Mount Batur Sunrise Trekking & Coffee Plantation,/AttractionProductReview-g469404-d15695644-Mount_Batur_Sunrise_Trekking_Coffee_Plantation-Seminyak_Kuta_District_Bali.html,5,36,"Get the most out of your time in Bali by waking up early and going on a Mount Batur sunrise trek. No need to worry about getting lost—a guide leads the way and a flashlight is provided. Hike at your own pace, and","2,716.26"
55,Private Ubud Tour,/AttractionProductReview-g608496-d11457538-Private_Ubud_Tour-Tabanan_Bali.html,5,329,"Experience the lively markets, majestic temples and natural wonders of Ubud on this private full-day tour, including hotel pick-up. Ideal for first-time visitors or families, you’ll enjoy the undivided attention of","1,828.25"
56,Bali Waterfalls Adventure Tour,/AttractionProductReview-g469404-d12577729-Bali_Waterfalls_Adventure_Tour-Seminyak_Kuta_District_Bali.html,5,40,"Pump your adrenaline on this private adventure to north Bali’s Sambangan Waterfalls, known as the Secret Garden. Your instructor will equip you with lifejackets and show you the ropes, so you can jump and slide to","1,514.83"
57,Bali Full Day Water Temples and UNESCO Rice Terraces Tour,/AttractionProductReview-g608496-d13131254-Bali_Full_Day_Water_Temples_and_UNESCO_Rice_Terraces_Tour-Tabanan_Bali.html,5,156,UNESCO has recognized Bali’s “subak” irrigation system with World Heritage status. Discover how Hindu beliefs and rice farming mesh from your personal chauffeur/guide on this door-to-door tour. Learn about the,"2,350.61"
58,"Jeju East Course - (Lunch included) Bus Tour, Full-day Tours, Day...",/AttractionProductReview-g294196-d12329939-Jeju_East_Course_Lunch_included_Bus_Tour_Full_day_Tours_Day_Trips-South_Korea.html,5,121,"The UNESCO World Heritage–listed island of Jeju lies off the southern shores of South Korea, and reaching it from Seoul can be a challenge. On this full-day tour, visit Seongeup folk village, explore Seongsan","4,701.21"
59,Best of Bali Private Tour,/AttractionProductReview-g608496-d11481138-Best_of_Bali_Private_Tour-Tabanan_Bali.html,5,139,"If you want to make the most of your time in Bali, then this private full-day tour is for you. In complete comfort, travel between the UNESCO-listed Tegalalang Rice Terrace, the Tegenungan Waterfall, Ubud’s artisan",888.01
60,Private Tour: Full-Day Mount Batur Volcano Sunrise Trek with Natural...,/AttractionProductReview-g608496-d11487032-Private_Tour_Full_Day_Mount_Batur_Volcano_Sunrise_Trek_with_Natural_Hot_Springs-Ta.html,5,103,"Local regulations forbidding ascent of Mount Batur without a guide, coupled with the absence of public transport, makes an independent trip difficult. This private Mount Batur tour includes not only round-trip","2,872.96"
61,Bali Amazing Waterfalls Tour,/AttractionProductReview-g1219108-d15358864-Bali_Amazing_Waterfalls_Tour-Ungasan_Nusa_Dua_Peninsula_Bali.html,5,31,Capture flawless photos—without a group to wait for—on this private tour of three of the most beautiful waterfalls around Ubud. Enjoy the tumbling cascades of Kanto Lampo Waterfall; swim in the blue waters of,"1,201.42"
62,Fast Track Bali Airport Arrival Service,/AttractionProductReview-g294226-d16840646-Fast_Track_Bali_Airport_Arrival_Service-Bali.html,5,4,bali fast track  assists guest who demand for VIP VOA arrival needs! Our service will eliminate your having to queue up for your VOA (Visa on Arrival) and immigration clearance .After greeting the customer off,"1,567.07"
63,"Bali in 1-Day: Temple, Waterfall, Coffee, Volcano, Rice Terrace and...",/AttractionProductReview-g469404-d15241571-Bali_in_1_Day_Temple_Waterfall_Coffee_Volcano_Rice_Terrace_and_Monkey_Tour-Seminya.html,5,13,"Pamper your day with Bali's most important landmarks like an insider on this 9-hour private tour designed just for you and your companion(s) up to 5 travelers. Travel to Ubud to visit: Batuan Temple, Tegenungan","1,828.25"
64,Private Full-Day Tour of Nusa Penida Island,/AttractionProductReview-g469404-d15142321-Private_Full_Day_Tour_of_Nusa_Penida_Island-Seminyak_Kuta_District_Bali.html,5,22,Skip the overcrowded boat tour and experience the best natural attractions of Bali on a private 10-hour excursion. Your exclusive experience begins with an air-conditioned ride from your hotel to Sanur Harbor. Hop a,"3,134.14"
65,Breakfast with the Orangutans at Bali Zoo,/AttractionProductReview-g608496-d11483328-Breakfast_with_the_Orangutans_at_Bali_Zoo-Tabanan_Bali.html,4.5,158,They say breakfast is the most important meal of the day. Discover it in true Indonesian style as you observe the kings of the jungle—orangutans—swinging and playing in their playground at Bali Zoo. There’s no need,"2,977.43"
66,One Day Nusa Penida Island West,/AttractionProductReview-g12948593-d15830829-One_Day_Nusa_Penida_Island_West-Ped_Nusa_Penida_Bali.html,5,17,"Spend a day exploring Nusa Penida Island’s incredible beaches and highlights with this exclusive tour. Witness the remarkable natural beauty of the area, from crystal clear waters, lush greenery and dramatic cliffs.","1,828.25"
67,Admission Ticket DMZ - Bali,/AttractionProductReview-g469404-d13509102-Admission_Ticket_DMZ_Bali-Seminyak_Kuta_District_Bali.html,4,9,"Home to around 120 spectacular optical illusions, DMZ (Dream Museum Zone) Bali is a must for families—and anyone who loves cool photos. It’s impossible to book through the attraction’s own website, so secure entry",235.06
68,Bali Scuba Diving at USS Liberty Shipwreck,/AttractionProductReview-g469404-d11486511-Bali_Scuba_Diving_at_USS_Liberty_Shipwreck-Seminyak_Kuta_District_Bali.html,5,26,"The USS Liberty Wreck at Tulamben is Bali’s signature dive—a Second World War ship turned into a metal reef. Experience it twice, with qualified professionals on hand throughout, even if you’ve never tried scuba","3,395.32"
69,"SMALL GROUP: Batam Day Trip with Ferry, 1-hr Massage, Shopping and...",/AttractionProductReview-g294265-d15041353-SMALL_GROUP_Batam_Day_Trip_with_Ferry_1_hr_Massage_Shopping_and_Seafood_Lunch-Sing.html,4,10,"Take a day off from sightseeing in Singapore to experience a slice of modern Indonesian culture on this day trip to nearby Batam. Rather than spending all day on a crowded coach, enjoy a number of activities and","4,440.09"
70,Bali Snorkeling Trip at Blue Lagoon,/AttractionProductReview-g469404-d11472738-Bali_Snorkeling_Trip_at_Blue_Lagoon-Seminyak_Kuta_District_Bali.html,5,84,Transport to Padang Bai is expensive when arranged independently and negotiating with local boatmen can be a real hassle. Take the pain out of snorkeling Bali’s most accessible reefs on this convenient and,"1,514.83"
71,Bali ATV Kuber Adventure - Bali Quad Bike,/AttractionProductReview-g469404-d17475509-Bali_ATV_Kuber_Adventure_Bali_Quad_Bike-Seminyak_Kuta_District_Bali.html,4.5,10,"-Pick up from the hotel depend on the time table available-Driving to the location around 1 hour-Upon arrival will get a welcome drink, sign insurance, and you will get equipment (helmet & boots)-Introduction","2,350.61"
72,Waterbom Bali Day Pass,/AttractionProductReview-g469404-d11454963-Waterbom_Bali_Day_Pass-Seminyak_Kuta_District_Bali.html,5,42,"Make the most of Kuta’s favorite waterpark, Waterbom, by booking your day pass in advance. Gain access to a wealth of slides, including the Climax, a full-loop high-adrenaline experience that begins with a","1,880.48"
73,Waterbom Bali Day Pass with Private Hotel Transfers,/AttractionProductReview-g469404-d13075443-Waterbom_Bali_Day_Pass_with_Private_Hotel_Transfers-Seminyak_Kuta_District_Bali.html,5,20,"Take the stress out of visiting Waterbom Bali, one of Asia’ top water parks, on this convenient package with private round-trip transfers direct from your door at a time that’s right for you. Spend the day enjoying","2,298.37"
74,Chef Bagus Balinese Indonesian Food Cooking Class,/AttractionProductReview-g469404-d14100794-Chef_Bagus_Balinese_Indonesian_Food_Cooking_Class-Seminyak_Kuta_District_Bali.html,5,17,Get to know Bali’s culture through an immersive cooking experience with the locally famous Chef Bagus. Start your day with a hassle-free pick up from your hotel and then enjoy welcome drinks and snacks as you get to,"2,611.78"
75,"3 Day Komodo Sail on Board: Rinca Island, Snorkeling with Manta Ray...",/AttractionProductReview-g15240293-d16861173-3_Day_Komodo_Sail_on_Board_Rinca_Island_Snorkeling_with_Manta_Ray_Pink_Beach-Lia.html,4.5,7,"Eastern Indonesia always presents the exotic charms through the natural authenticity, for example Komodo island. With 3 Day 2 Night join trip, you are luck to witness the life of Komodo Dragons in their natural","15,148.35"
76,Private Ubud and Volcano Day Trip,/AttractionProductReview-g608496-d11469273-Private_Ubud_and_Volcano_Day_Trip-Tabanan_Bali.html,5,209,"If you’ve got limited time on the island of Bali, opt for a personalize sightseeing itinerary on a private tour of Ubud and Kintamani Volcano (Mount Batur)—two must-see Bali attractions. While you receive undivided","2,089.43"
77,Nusa Penida Snorkeling Adventure,/AttractionProductReview-g12948593-d15682075-Nusa_Penida_Snorkeling_Adventure-Ped_Nusa_Penida_Bali.html,5,24,"Make the most of the superb swimming and snorkeling spots on isolated Nusa Penida, but without the hassle of hiring your own snorkeling gear or researching where to swim. On this private tour of the island visit a","5,693.69"
